,weather,scenario,status
301,cloudy,ghost_cutin,Completed
302,rain,ghost_cutin,Completed
303,snow,ghost_cutin,Completed
304,clear,ghost_cutin,Completed
305,cloudy,ghost_cutin,Failed -- Accident
306,rain,ghost_cutin,Completed
307,snow,ghost_cutin,Completed
308,clear,ghost_cutin,Completed
309,cloudy,ghost_cutin,Completed
310,rain,ghost_cutin,Completed
311,snow,ghost_cutin,Completed
312,clear,ghost_cutin,Completed
313,cloudy,ghost_cutin,Completed
314,rain,ghost_cutin,Completed
315,snow,ghost_cutin,Completed
316,clear,ghost_cutin,Completed
317,cloudy,ghost_cutin,Completed
318,rain,ghost_cutin,Completed
319,snow,ghost_cutin,Completed
320,clear,ghost_cutin,Completed
321,cloudy,ghost_cutin,Completed
322,rain,ghost_cutin,Failed -- Simulator crashed
323,snow,ghost_cutin,Failed -- Accident
324,clear,ghost_cutin,Completed
325,cloudy,ghost_cutin,Completed
326,rain,ghost_cutin,Completed
327,snow,ghost_cutin,Completed
328,clear,ghost_cutin,Completed
329,cloudy,ghost_cutin,Completed
330,rain,ghost_cutin,Completed
331,snow,ghost_cutin,Completed
332,clear,ghost_cutin,Completed
333,cloudy,ghost_cutin,Completed
334,rain,ghost_cutin,Failed -- Accident
335,snow,ghost_cutin,Completed
336,clear,ghost_cutin,Completed
337,cloudy,ghost_cutin,Completed
338,rain,ghost_cutin,Completed
339,snow,ghost_cutin,Completed
340,clear,ghost_cutin,Completed
341,cloudy,ghost_cutin,Completed
342,rain,ghost_cutin,Completed
343,snow,ghost_cutin,Failed -- Accident
344,clear,ghost_cutin,Completed
345,cloudy,ghost_cutin,Completed
346,rain,ghost_cutin,Failed -- Accident
347,snow,ghost_cutin,Completed
348,clear,ghost_cutin,Completed
349,cloudy,ghost_cutin,Completed
350,rain,ghost_cutin,Completed
351,snow,ghost_cutin,Completed
352,clear,ghost_cutin,Completed
353,cloudy,ghost_cutin,Completed
354,rain,ghost_cutin,Failed -- Accident
355,snow,ghost_cutin,Completed
356,clear,ghost_cutin,Completed
357,cloudy,ghost_cutin,Completed
358,rain,ghost_cutin,Failed -- Accident
359,snow,ghost_cutin,Completed
360,clear,ghost_cutin,Completed
361,cloudy,ghost_cutin,Completed
362,rain,ghost_cutin,Completed
363,snow,ghost_cutin,Completed
364,clear,ghost_cutin,Completed
365,cloudy,ghost_cutin,Failed -- Accident
366,rain,ghost_cutin,Completed
367,snow,ghost_cutin,Completed
368,clear,ghost_cutin,Completed
369,cloudy,ghost_cutin,Completed
370,rain,ghost_cutin,Completed
371,snow,ghost_cutin,Completed
372,clear,ghost_cutin,Completed
373,cloudy,ghost_cutin,Completed
374,rain,ghost_cutin,Failed -- Accident
375,snow,ghost_cutin,Completed
376,clear,ghost_cutin,Completed
377,cloudy,ghost_cutin,Completed
378,rain,ghost_cutin,Completed
379,snow,ghost_cutin,Completed
380,clear,ghost_cutin,Completed
381,cloudy,ghost_cutin,Completed
382,rain,ghost_cutin,Completed
383,snow,ghost_cutin,Completed
384,clear,ghost_cutin,Completed
385,cloudy,ghost_cutin,Completed
386,rain,ghost_cutin,Completed
387,snow,ghost_cutin,Completed
388,clear,ghost_cutin,Failed -- Accident
389,cloudy,ghost_cutin,Completed
390,rain,ghost_cutin,Completed
391,snow,ghost_cutin,Completed
392,clear,ghost_cutin,Completed
393,cloudy,ghost_cutin,Completed
394,rain,ghost_cutin,Completed
395,snow,ghost_cutin,Failed -- Accident
396,clear,ghost_cutin,Completed
397,cloudy,ghost_cutin,Completed
398,rain,ghost_cutin,Failed -- Accident
399,snow,ghost_cutin,Completed
400,clear,ghost_cutin,Completed
