ts,agent_id,x,y,z,v
27647,0,192.36245727539062,-86.26268005371094,0.033644333481788635,8.837863714105782e-08
27648,0,192.36245727539062,-86.26268005371094,0.033645667135715485,1.603741558778287e-07
27649,0,192.36245727539062,-86.26268005371094,0.03364696353673935,6.241027854616366e-08
27650,0,192.36245727539062,-86.26268005371094,0.03364810720086098,6.575583420026161e-08
27651,0,192.36245727539062,-86.26268005371094,0.03364913910627365,4.409174588804619e-08
27652,0,192.36245727539062,-86.26268005371094,0.03364913910627365,2.7813174344040955e-08
27653,0,192.36245727539062,-86.26268005371094,0.03365085646510124,1.3298393529375584e-07
27654,0,192.36245727539062,-86.26268005371094,0.03365085646510124,6.041687877753248e-08
27655,0,192.36245727539062,-86.26268005371094,0.03365211561322212,1.9716153427881878e-08
27656,0,192.36245727539062,-86.26268005371094,0.03365211561322212,1.4082594451565346e-07
27657,0,192.36245727539062,-86.26268005371094,0.03365211561322212,1.0951459580135876e-07
27658,0,192.36245727539062,-86.26268005371094,0.03365341201424599,9.949123473308776e-08
27659,0,192.36245727539062,-86.26268005371094,0.03365341201424599,9.699524659475428e-08
27660,0,192.36245727539062,-86.26268005371094,0.03365341201424599,1.0481983386710237e-07
27661,0,192.36245727539062,-86.26268005371094,0.03365341201424599,4.011188892931477e-08
27662,0,192.36245727539062,-86.26268005371094,0.03365341201424599,4.316178979033176e-08
27663,0,192.36245727539062,-86.26268005371094,0.03365341201424599,2.0938068142574147e-07
27664,0,192.36245727539062,-86.26268005371094,0.03365341201424599,2.0886903060556428e-07
27665,0,192.36245727539062,-86.26268005371094,0.03365341201424599,3.0697074200147894e-08
27666,0,192.36245727539062,-86.26268005371094,0.03365444019436836,6.407385165745527e-08
27667,0,192.36245727539062,-86.26268005371094,0.03365444019436836,4.286661760650192e-08
27668,0,192.36245727539062,-86.26268005371094,0.03365444019436836,5.661549785405421e-08
27669,0,192.36245727539062,-86.26268005371094,0.03365444019436836,1.066224928447251e-07
27670,0,192.36245727539062,-86.26268005371094,0.03365444019436836,3.4974424986708e-08
27671,0,192.36245727539062,-86.26268005371094,0.03365444019436836,1.1727349510706285e-07
27672,0,192.36245727539062,-86.26266479492188,0.03365612030029297,0.0013512734525677075
27673,0,192.36251831054688,-86.25653839111328,0.03353561460971832,0.3201684467921709
27674,0,192.3626708984375,-86.24253845214844,0.03333099186420441,0.6303404496015858
27675,0,192.36289978027344,-86.2209243774414,0.03309093415737152,0.9311124843777778
27676,0,192.3632049560547,-86.19197845458984,0.032845571637153625,1.2220574398343897
27677,0,192.3635711669922,-86.15595245361328,0.032612916082143784,1.5028864071038202
27678,0,192.36399841308594,-86.11312103271484,0.03240314498543739,1.7734187934344128
27679,0,192.364501953125,-86.06375122070312,0.0322209931910038,2.033569910518365
27680,0,192.36509704589844,-86.00809478759766,0.03206794708967209,2.2833431279558756
27681,0,192.36572265625,-85.9464111328125,0.03194362670183182,2.5228220760195272
27682,0,192.36642456054688,-85.87895202636719,0.031846657395362854,2.7521633268400634
27683,0,192.3671875,-85.80596160888672,0.0317743681371212,2.971586325409062
27684,0,192.36798095703125,-85.72769165039062,0.03172428160905838,3.1813694685152054
27685,0,192.36886596679688,-85.64435577392578,0.03169376403093338,3.3818363828768945
27686,0,192.36978149414062,-85.55619812011719,0.03168002888560295,3.573350365487434
27687,0,192.37075805664062,-85.46342468261719,0.03168075531721115,3.7563027713065895
27688,0,192.3717803955078,-85.36624145507812,0.03169364854693413,3.9311071562899813
27689,0,192.3728485107422,-85.26483917236328,0.03171638399362564,4.098237598746457
27690,0,192.37396240234375,-85.15940856933594,0.03174735978245735,4.258389206440667
27691,0,192.37509155273438,-85.05009460449219,0.031784363090991974,4.412078574303367
27692,0,192.3762664794922,-84.93704986572266,0.03182624652981758,4.559643783410286
27693,0,192.37747192382812,-84.8204345703125,0.03187175840139389,4.701403978492844
27694,0,192.3787384033203,-84.70037841796875,0.03191951662302017,4.837680745253094
27695,0,192.3800506591797,-84.57701110839844,0.031968992203474045,4.968797237261373
27696,0,192.38136291503906,-84.45045471191406,0.03216693922877312,5.09599822317858
27697,0,192.3827362060547,-84.32080841064453,0.03241851553320885,5.218228844178784
27698,0,192.3840789794922,-84.18819427490234,0.032581593841314316,5.336221546979976
27699,0,192.38546752929688,-84.05268096923828,0.03268691897392273,5.450234972974947
27700,0,192.3868865966797,-83.9144058227539,0.03275543078780174,5.560534953539956
27701,0,192.3883514404297,-83.77342224121094,0.032800864428281784,5.667382222288211
27702,0,192.38987731933594,-83.62982177734375,0.032832298427820206,5.771024574715639
27703,0,192.39146423339844,-83.48371124267578,0.03285549208521843,5.871686025182122
27704,0,192.39308166503906,-83.33511352539062,0.03287387639284134,5.969604556236795
27705,0,192.39476013183594,-83.18412017822266,0.032890014350414276,6.064972485806417
27706,0,192.39645385742188,-83.03079223632812,0.03290519490838051,6.157978904984926
27707,0,192.39822387695312,-82.87516784667969,0.032919999212026596,6.24879833574573
27708,0,192.39999389648438,-82.71731567382812,0.03293498978018761,6.337590689880557
27709,0,192.4018096923828,-82.55728149414062,0.032950058579444885,6.424501951389312
27710,0,192.40370178222656,-82.39509582519531,0.03296550735831261,6.509667360600863
27711,0,192.40562438964844,-82.23081970214844,0.03298122435808182,6.593214222961028
27712,0,192.40753173828125,-82.06449127197266,0.03299674764275551,6.675250801331189
27713,0,192.40948486328125,-81.8961181640625,0.03301239013671875,6.755885025095623
27714,0,192.4114227294922,-81.72576141357422,0.03302799165248871,6.835206651201344
27715,0,192.41336059570312,-81.55345153808594,0.033043023198843,6.913307140622449
27716,0,192.41531372070312,-81.37919616699219,0.033057861030101776,6.990262993097622
27717,0,192.41726684570312,-81.20304870605469,0.033072393387556076,7.06614667357414
27718,0,192.41925048828125,-81.02500915527344,0.033086393028497696,7.141023738839703
27719,0,192.4212646484375,-80.84512329101562,0.03309982270002365,7.214953726909659
27720,0,192.42327880859375,-80.66340637207031,0.03311275318264961,7.287988825558046
27721,0,192.42532348632812,-80.47987365722656,0.033125150948762894,7.360183623394028
27722,0,192.4273223876953,-80.29454803466797,0.03313713148236275,7.431573625767017
27723,0,192.42933654785156,-80.10745239257812,0.033148422837257385,7.502217630205311
27724,0,192.43138122558594,-79.91860961914062,0.03315921872854233,7.572140595624441
27725,0,192.43345642089844,-79.72802734375,0.033169668167829514,7.6413805078573045
27726,0,192.43548583984375,-79.53572845458984,0.033179547637701035,7.709967747747559
27727,0,192.43746948242188,-79.34171295166016,0.03318885713815689,7.777934873092039
27728,0,192.43946838378906,-79.1460189819336,0.033197782933712006,7.845307774757148
27729,0,192.44143676757812,-78.94865417480469,0.03320617601275444,7.912109078596408
27730,0,192.44338989257812,-78.74961853027344,0.0332142636179924,7.978361473654204
27731,0,192.44534301757812,-78.54894256591797,0.033221930265426636,8.044086222496162
27732,0,192.44728088378906,-78.34662628173828,0.03322906419634819,8.109630206510458
27733,0,192.4491729736328,-78.14414978027344,0.03326816484332085,8.10208279585414
27734,0,192.4510498046875,-77.94175720214844,0.033325690776109695,8.09797543762722
27735,0,192.452880859375,-77.73943328857422,0.033389586955308914,8.094691887978104
27736,0,192.45474243164062,-77.53719329833984,0.03345336765050888,8.091635793263952
27737,0,192.45663452148438,-77.33501434326172,0.03351322188973427,8.088643224823786
27738,0,192.4585723876953,-77.1329116821289,0.033567845821380615,8.085669652881677
27739,0,192.46055603027344,-76.93087005615234,0.03361675143241882,8.08269884816326
27740,0,192.46255493164062,-76.72889709472656,0.033659666776657104,8.079737250792611
27741,0,192.46458435058594,-76.52700805664062,0.03369724377989769,8.076775090572596
27742,0,192.4666748046875,-76.3251724243164,0.033729780465364456,8.073811215894859
27743,0,192.46884155273438,-76.12342071533203,0.033757973462343216,8.070841582043167
27744,0,192.47105407714844,-75.92173767089844,0.03378234803676605,8.067885885146652
27745,0,192.4732208251953,-75.72012329101562,0.03380313888192177,8.06493174252075
27746,0,192.47537231445312,-75.51858520507812,0.03382118046283722,8.06197844295331
27747,0,192.4774932861328,-75.3171157836914,0.03383655473589897,8.059026546670356
27748,0,192.4796905517578,-75.11571502685547,0.03384979069232941,8.056075867265106
27749,0,192.4818878173828,-74.91439056396484,0.03386123478412628,8.053126131955924
27750,0,192.48410034179688,-74.713134765625,0.03387092426419258,8.05017912626576
27751,0,192.486328125,-74.51195526123047,0.033879201859235764,8.0472337926051
27752,0,192.488525390625,-74.31084442138672,0.033886414021253586,8.04428929011047
27753,0,192.49072265625,-74.10906219482422,0.03387424349784851,8.100072896095073
27754,0,192.4928741455078,-73.90444946289062,0.03381004184484482,8.210492970001102
27755,0,192.49508666992188,-73.69713592529297,0.03372490033507347,8.316340442330109
27756,0,192.4973602294922,-73.48725128173828,0.03363601490855217,8.418110158758065
27757,0,192.49961853027344,-73.27489471435547,0.03355209156870842,8.516118132433988
27758,0,192.50189208984375,-73.06017303466797,0.033477362245321274,8.610671641653447
27759,0,192.50413513183594,-72.8431396484375,0.03341316059231758,8.702035609038347
27760,0,192.5063018798828,-72.6239013671875,0.03335971757769585,8.790455102432947
27761,0,192.50843811035156,-72.40250396728516,0.03331615403294563,8.87622318599885
27762,0,192.510498046875,-72.17900848388672,0.03328155353665352,8.959537701333185
27763,0,192.51255798339844,-71.95348358154297,0.033254776149988174,9.040623725207958
27764,0,192.51458740234375,-71.72598266601562,0.03323444351553917,9.11958146086606
27765,0,192.5165557861328,-71.49655151367188,0.033220212906599045,9.196145916870234
27766,0,192.51849365234375,-71.2652587890625,0.03321117162704468,9.269781838872806
27767,0,192.5204315185547,-71.03219604492188,0.033207204192876816,9.34008576020454
27768,0,192.5223388671875,-70.79744720458984,0.033207967877388,9.406426571478388
27769,0,192.5242919921875,-70.56114196777344,0.03321361541748047,9.468142366790563
27770,0,192.5262451171875,-70.32337951660156,0.03322422131896019,9.52459081624386
27771,0,192.52821350097656,-70.08433532714844,0.0332399345934391,9.575047226120624
27772,0,192.5302734375,-69.84415435791016,0.03326099365949631,9.618885354172045
27773,0,192.5323944091797,-69.6030044555664,0.033287085592746735,9.656234264675245
27774,0,192.53463745117188,-69.36103820800781,0.03331771865487099,9.687115711437508
27775,0,192.53704833984375,-69.11843872070312,0.033352699130773544,9.711151342221388
27776,0,192.53955078125,-68.87537384033203,0.033391647040843964,9.728230775806416
27777,0,192.5421905517578,-68.63200378417969,0.03343391418457031,9.73912380666877
27778,0,192.54507446289062,-68.38847351074219,0.0334785059094429,9.744005013452735
27779,0,192.54815673828125,-68.14494323730469,0.033525314182043076,9.74292159031143
27780,0,192.55133056640625,-67.90154266357422,0.0335734561085701,9.736577070154848
27781,0,192.55447387695312,-67.65839385986328,0.033622052520513535,9.725478170680363
27782,0,192.55767822265625,-67.41559600830078,0.03367046266794205,9.710114157072656
27783,0,192.5609588623047,-67.17326354980469,0.03371826186776161,9.691126408330817
27784,0,192.5642852783203,-66.93144226074219,0.033764228224754333,9.669481007818455
27785,0,192.56768798828125,-66.6902084350586,0.03380801901221275,9.645679753553377
27786,0,192.5711212158203,-66.44960021972656,0.03384910523891449,9.620336082016962
27787,0,192.57472229003906,-66.20964050292969,0.033886946737766266,9.59405976754115
27788,0,192.57835388183594,-65.97035217285156,0.03392146900296211,9.56708673082819
27789,0,192.58209228515625,-65.73173522949219,0.03395244479179382,9.53976716755098
27790,0,192.5857696533203,-65.49381256103516,0.03398006409406662,9.51213113160172
27791,0,192.58941650390625,-65.25658416748047,0.03400447592139244,9.483946913426227
27792,0,192.5929718017578,-65.02007293701172,0.03402629867196083,9.455185437441488
27793,0,192.596435546875,-64.78428649902344,0.03404602035880089,9.42546710849176
27794,0,192.5998992919922,-64.54927825927734,0.03406425565481186,9.394163574726065
27795,0,192.6033477783203,-64.3150405883789,0.03408069536089897,9.363285090438666
27796,0,192.6067657470703,-64.08155822753906,0.034094925969839096,9.333242387526528
27797,0,192.6101531982422,-63.848812103271484,0.03410659730434418,9.304151099944892
27798,0,192.61351013183594,-63.61676788330078,0.0341157540678978,9.27608475907916
27799,0,192.61679077148438,-63.38541030883789,0.0341227725148201,9.248967730254238
27800,0,192.6200408935547,-63.15470504760742,0.034127578139305115,9.22283012712838
27801,0,192.623291015625,-62.92462921142578,0.034130439162254333,9.197931867326037
27802,0,192.62649536132812,-62.69514465332031,0.03413127735257149,9.174505207072004
27803,0,192.6296844482422,-62.46622085571289,0.03413040190935135,9.15256634267893
27804,0,192.63287353515625,-62.2378044128418,0.0341276153922081,9.13228970061368
27805,0,192.63609313964844,-62.00987243652344,0.03412323072552681,9.113730424894406
27806,0,192.63937377929688,-61.7823600769043,0.03411727771162987,9.097109188488574
27807,0,192.64280700683594,-61.55522918701172,0.034109726548194885,9.082449216125301
27808,0,192.6463165283203,-61.32843780517578,0.034100912511348724,9.069344410830965
27809,0,192.64984130859375,-61.1019401550293,0.03409126028418541,9.057634446264538
27810,0,192.65328979492188,-60.87571716308594,0.03408103808760643,9.047271576114927
27811,0,192.6566925048828,-60.64971160888672,0.034070130437612534,9.038779738389506
27812,0,192.6600799560547,-60.42388153076172,0.03405849263072014,9.03226732166635
27813,0,192.6634521484375,-60.19817352294922,0.0340457521378994,9.028252724881858
27814,0,192.66685485839844,-59.97254180908203,0.03403259068727493,9.024812021314796
27815,0,192.6702423095703,-59.74700164794922,0.0340200811624527,9.021455440807838
27816,0,192.67355346679688,-59.521541595458984,0.034008290618658066,9.01810491107341
27817,0,192.67684936523438,-59.29616928100586,0.03399791568517685,9.014762747894908
27818,0,192.6800537109375,-59.07087707519531,0.03398856893181801,9.011415557028156
27819,0,192.68324279785156,-58.84566879272461,0.033980485051870346,9.008075792189988
27820,0,192.68634033203125,-58.62054443359375,0.033973272889852524,9.004736743298947
27821,0,192.689453125,-58.395511627197266,0.033967092633247375,9.00140291739826
27822,0,192.69276428222656,-58.17055892944336,0.033961907029151917,8.998014202466509
27823,0,192.69615173339844,-57.94569396972656,0.03395732864737511,8.994672871219496
27824,0,192.69952392578125,-57.72091293334961,0.03395339846611023,8.991341882796526
27825,0,192.70272827148438,-57.4962158203125,0.033950116485357285,8.98795220728399
27826,0,192.70565795898438,-57.27159118652344,0.033947255462408066,8.984540986260381
27827,0,192.70846557617188,-57.04705810546875,0.03394477814435959,8.981190368159684
27828,0,192.71121215820312,-56.82261276245117,0.03394263982772827,8.977860360577344
27829,0,192.71389770507812,-56.59823989868164,0.03394084796309471,8.974536685423821
27830,0,192.7164764404297,-56.37395477294922,0.03393928334116936,8.971204338794445
27831,0,192.71897888183594,-56.14974594116211,0.03393791243433952,8.967883632130935
27832,0,192.72146606445312,-55.925628662109375,0.033936843276023865,8.964566272018583
27833,0,192.72390747070312,-55.70158386230469,0.033935852348804474,8.961250277387155
27834,0,192.72628784179688,-55.47687530517578,0.0339183434844017,8.996646495837046
27835,0,192.7287139892578,-55.251346588134766,0.0338909886777401,9.028623494881188
27836,0,192.7311553955078,-55.02503967285156,0.03386077657341957,9.059481360385043
27837,0,192.73362731933594,-54.79798889160156,0.03383121266961098,9.089121736506685
27838,0,192.73611450195312,-54.570213317871094,0.03380439803004265,9.1174611792416
27839,0,192.7386016845703,-54.341766357421875,0.03378131613135338,9.14453625297362
27840,0,192.7412109375,-54.11266326904297,0.03376220539212227,9.170083128834019
27841,0,192.74378967285156,-53.882972717285156,0.03374717757105827,9.19350660901877
27842,0,192.746337890625,-53.65273666381836,0.03373626619577408,9.214771948777587
27843,0,192.74891662597656,-53.42201232910156,0.033729322254657745,9.234205765648625
27844,0,192.75152587890625,-53.19083023071289,0.033725470304489136,9.25211353659368
27845,0,192.75418090820312,-52.95923614501953,0.03372440114617348,9.268375692927512
27846,0,192.7568359375,-52.72727966308594,0.03372577577829361,9.282440739818894
27847,0,192.759521484375,-52.495018005371094,0.033729780465364456,9.294125928256857
27848,0,192.76223754882812,-52.26250457763672,0.03373592346906662,9.303806341659556
27849,0,192.7649688720703,-52.02975845336914,0.03374343737959862,9.312797650867727
27850,0,192.76771545410156,-51.79679870605469,0.03375156223773956,9.321252626816706
27851,0,192.7704620361328,-51.56364059448242,0.03375961259007454,9.329147680413577
27852,0,192.7731475830078,-51.33030700683594,0.03376777470111847,9.336166476420564
27853,0,192.77590942382812,-51.096805572509766,0.033775899559259415,9.34248868135418
27854,0,192.7786407470703,-50.86315155029297,0.03378383442759514,9.348171797782316
27855,0,192.78131103515625,-50.62938690185547,0.033791884779930115,9.352643633028668
27856,0,192.78392028808594,-50.39553451538086,0.03380035236477852,9.355553998958102
27857,0,192.78648376464844,-50.16162872314453,0.033808860927820206,9.357759951376185
27858,0,192.78907775878906,-49.92768096923828,0.0338175967335701,9.359054293431496
27859,0,192.79165649414062,-49.69371032714844,0.03382613882422447,9.359941101236725
27860,0,192.79421997070312,-49.459716796875,0.033834151923656464,9.360558812061157
27861,0,192.7967529296875,-49.225711822509766,0.033841781318187714,9.360909664719458
27862,0,192.79931640625,-48.991703033447266,0.03384837880730629,9.361616626316504
27863,0,192.80191040039062,-48.75765609741211,0.03385406360030174,9.362802768890587
27864,0,192.80458068847656,-48.52357864379883,0.03385864198207855,9.36445292900981
27865,0,192.80726623535156,-48.289451599121094,0.03386218845844269,9.366287903732658
27866,0,192.8100128173828,-48.05528259277344,0.03386516496539116,9.367770557492669
27867,0,192.8128204345703,-47.82108688354492,0.03386798873543739,9.368753991195877
27868,0,192.81573486328125,-47.58689498901367,0.033870961517095566,9.368888918372154
27869,0,192.81866455078125,-47.352699279785156,0.03387412801384926,9.368254143762954
27870,0,192.82167053222656,-47.11854553222656,0.033877983689308167,9.366484231065105
27871,0,192.82470703125,-46.88446807861328,0.03388255834579468,9.363470766193087
27872,0,192.82777404785156,-46.65047073364258,0.033887747675180435,9.359296975150162
27873,0,192.83087158203125,-46.41664123535156,0.03389423340559006,9.35258652056899
27874,0,192.8339385986328,-46.183040618896484,0.0339028537273407,9.342245083062366
27875,0,192.83694458007812,-45.94975662231445,0.03391380235552788,9.329241964335028
27876,0,192.83993530273438,-45.71680450439453,0.03392574191093445,9.315561720899824
27877,0,192.84291076660156,-45.48420715332031,0.033937718719244,9.301700591126236
27878,0,192.84593200683594,-45.2519416809082,0.03394866734743118,9.288702301395293
27879,0,192.8489532470703,-45.01997756958008,0.033957939594984055,9.276715389254022
27880,0,192.8520050048828,-44.78828811645508,0.03396514803171158,9.266090686266075
27881,0,192.85504150390625,-44.55683898925781,0.033970143646001816,9.256703321499543
27882,0,192.85806274414062,-44.32560348510742,0.0339730829000473,9.248557237744363
27883,0,192.86097717285156,-44.09454345703125,0.033974189311265945,9.241490212467165
27884,0,192.86383056640625,-43.86363220214844,0.033973656594753265,9.23569623030521
27885,0,192.86659240722656,-43.63284683227539,0.03397170826792717,9.231193542271106
27886,0,192.86929321289062,-43.402137756347656,0.033968351781368256,9.227926866962044
27887,0,192.8718719482422,-43.1714973449707,0.033964041620492935,9.225390026888986
27888,0,192.8744354248047,-42.9409065246582,0.03395912051200867,9.223406948503687
27889,0,192.876953125,-42.71036148071289,0.03395393118262291,9.221930005867922
27890,0,192.87942504882812,-42.47984313964844,0.033948782831430435,9.220791675091421
27891,0,192.88186645507812,-42.249351501464844,0.03394359350204468,9.220014413936036
27892,0,192.88430786132812,-42.01887130737305,0.033938635140657425,9.219385112739653
27893,0,192.88673400878906,-41.78840255737305,0.033934056758880615,9.21903881174729
27894,0,192.88916015625,-41.55792999267578,0.03392959386110306,9.219194773383943
27895,0,192.8916015625,-41.32744598388672,0.0339251309633255,9.219965758498867
27896,0,192.89401245117188,-41.09693145751953,0.033920593559741974,9.221275336094045
